Year,Company,Total impact score,Company rank overall,Number of diseases,Drugs,Disease targeted,Individual impact,,#diseases 2010,,Company Impact Score,Patent Date,Patent Expiry Date,Drug,,,DS-TB,MDR-TB,XDR-TB,p. falc Malaria,p. vivax Malaria,HIV,Roundworm,Hookworm,Whipworm,Schistosomiasis,Onchocerciasis,LF,,,,,,,,,,,
2010,"Guilin Pharmaceutical Co., Ltd",0,17,1,Artesunate,p. vivax Malaria,0,,1,"Kyorin Pharmaceutical Co., Ltd.","4,680.81",1999,,Gatifloxacin (Gfx),,,,,"4,680.81",,,,,,,,,,,,,,,,,,,,
2010,Chongqing Holley Pharmaceutical Co. Ltd and Sigma Tau Industrie Farmaceutiche,10.34,16,2,DHA-Piperaquine,p. falc Malaria,10.34,,1,F. Hoffmann-La Roche Ltd,"13,398,454.29",1952,,Isoniazid (H or INH),,,"13,398,454.29",,,,,,,,,,,,,,,,,,,,,,
,,,,,DHA-Piperaquine,p. vivax Malaria,0,,1,Merck,"13,995,421.40",1948,,Streptomycin (S or STR),,,,"3,383.08",,,,,,,,,,,,,,,,,,,,,
2010,"Kyorin Pharmaceutical Co., Ltd.","4,680.81",14,1,Gatifloxacin,XDR-TB,"4,680.81",,1,Merck,,1996,,Efavirenz (EFV),,,,,,,,"494,220.13",,,,,,,,,,,,,,,,,
2010,Eli Lilly and Company,"6,436.11",13,1,Capreomycin,XDR-TB,"6,436.11",,3,Merck,,1988,,Ivermectin (IVM),,,,,,,,,"96,306.64",,0,,,195.43,,,,,,,,,,,
2010,Daiichi Sankyo,"19,893.76",12,3,Ofloxacin,XDR-TB,"4,680.81",,2,Merck,,1954,,Pyrazinamide (Z or PZA),,,"13,398,454.29","2,861.83",,,,,,,,,,,,,,,,,,,,,
,,,,,Levofloxacin,XDR-TB,"4,680.81",,1,Bayer Healthcare,"823,594.31",1997,,Moxifloxacin (Mfx),,,,,"4,680.81",,,,,,,,,,,,,,,,,,,,
,,,,,Levofloxacin,MDR-TB,"10,532.14",,1,Bayer Healthcare,,1941,,Chloroquine (CQ),,,,,,,0,,,,,,,,,,,,,,,,,,
2010,Abbot Laboratories,"40,612.35",11,1,Lopinavir / Ritonavir,HIV,"40,612.35",,1,Bayer Healthcare,,1996,,Praziquantel (PZQ),,,,,,,,,,,,"818,913.51",,,,,,,,,,,,,
2010,Johnson and Johnson,293.71,15,3,Mebendazole,Roundworm,0,,1,Sanofi,"13,420,018.69",1967,,RIfampicin (R or RMP),,,"13,398,454.29",,,,,,,,,,,,,,,,,,,,,,
,,,,,Mebendazole,Hookworm,0,,2,Sanofi,,1988,,Artesunate/Amodiaquine (AS + AQ),,,,,,"18,547.38",0,,,,,,,,,,,,,,,,,,
,,,,,Mebendazole,Whipworm,293.71,,1,Sanofi,,1988,,Artesunate / Sulfadoxine-pyrimethamine (AS + SP),,,,,,"2,661.50",,,,,,,,,,,,,,,,,,,
2010,GlaxoSmithKline,"256,064.93",9,7,Zidovudine,HIV,"256,064.93",,2,Sanofi,,1981,,Chloroquine + Primaquine (CQ+PQ),,,,,,0,355.52,,,,,,,,,,,,,,,,,,
2010,Bristol-Myers Squibb,"531,565.63",8,4,Amikacin,XDR-TB,"6,436.11",,1,Daiichi Sankyo,"19,893.76",1983,,Ofloxacin (Ofx),,,,,"4,680.81",,,,,,,,,,,,,,,,,,,,
,,,,,Didanosine,HIV,"9,525.13",,2,Daiichi Sankyo,,1996,,Levofloxacin (Lfx),,,,"10,532.14","4,680.81",,,,,,,,,,,,,,,,,,,,
,,,,,Stavudine,HIV,"512,379.06",,1,Bristol-Myers Squibb,"531,565.63",1973,,Amikacin (Amk),,,,,"6,436.11",,,,,,,,,,,,,,,,,,,,
,,,,,Atazanafir / Ritonavir,HIV,"3,225.33",,1,Bristol-Myers Squibb,,1987,,Didanosine (ddl),,,,,,,,"9,525.13",,,,,,,,,,,,,,,,,
2010,Bayer Healthcare,"823,594.31",6,3,Moxifloxacin,XDR-TB,"4,680.81",,1,Bristol-Myers Squibb,,1996,,Stavudine (d4t),,,,,,,,"512,379.06",,,,,,,,,,,,,,,,,
,,,,,Chloroquine,p. vivax Malaria,0,,1,Bristol-Myers Squibb,,1995/1993,,Atazanafir / Ritonavir (ATV/r),,,,,,,,"3,225.33",,,,,,,,,,,,,,,,,
,,,,,Praziquantel,Schistosomiasis,"818,913.51",,1,Pfizer Inc.,"13,439,622.14",1976,,Ethambutol (E or EMB),,,"13,398,454.29",,,,,,,,,,,,,,,,,,,,,,
2010,Boehringer Ingelheim,"810,100.27",7,1,Nevirapine,HIV,"810,100.27",,1,Pfizer Inc.,,1959,,Ethionamide (Eto),,,,"10,532.14",,,,,,,,,,,,,,,,,,,,,
2010,Shire Pharmaceuticals,"1,194,589.55",5,1,Lamivudine,HIV,"1,194,589.55",,2,Pfizer Inc.,,1956,,Cycloserine (Cs),,,,"10,532.14","19,503.35",,,,,,,,,,,,,,,,,,,,
2010,F. Hoffmann-La Roche Ltd,"13,398,454.29",4,1,Isoniazid,DS-TB,"13,398,454.29",,1,Pfizer Inc.,,1948,,p-aminosalicylic acid (PAS),,,,0,,,,,,,,,,,,,,,,,,,,,
2010,Pfizer Inc.,"13,439,622.14",2,7,Ethambutol,DS-TB,"13,398,454.29",,1,Pfizer Inc.,,1949,,Diethylcarbamazine (DEC),,,,,,,,,,,,,,544.79,,,,,,,,,,,
,,,,,Ethionamide,MDR-TB,"10,532.14",,1,Pfizer Inc.,,1996,,Nelfinavir (NFV),,,,,,,,55.42,,,,,,,,,,,,,,,,,
,,,,,Cycloserine,MDR-TB,"10,532.14",,1,Shire Pharmaceuticals,"1,194,589.55",1991,,Lamivudine (3TC),,,,,,,,"1,194,589.55",,,,,,,,,,,,,,,,,
,,,,,Cycloserine,XDR-TB,"19,503.35",,1,Boehringer Ingelheim,"810,100.27",1996,,Nevirapine (NVP),,,,,,,,"810,100.27",,,,,,,,,,,,,,,,,
,,,,,p-aminosalicylic acid,MDR-TB,0,,1,GlaxoSmithKline,"256,064.93",1999,,Zidovudine (AZT),,,,,,,,"256,064.93",,,,,,,,,,,,,,,,,
,,,,,Diethylcarbamazine,LF,544.79,,1,"Gilead Sciences, Inc.","309,222.85",1998,,Emtricitabine (FTC),,,,,,,,"72,311.30",,,,,,,,,,,,,,,,,
,,,,,Nelfinavir,HIV,55.42,,1,"Gilead Sciences, Inc.",,1996,,Tenofovir (TDF),,,,,,,,"236,911.55",,,,,,,,,,,,,,,,,
2010,Merck,"13,995,421.40",1,7,Streptomycin,MDR-TB,"3,383.08",,1,Eli Lilly and Company,"6,436.11",2007,,Capreomycin (Cm),,,,,"6,436.11",,,,,,,,,,,,,,,,,,,,
,,,,,Efavirenz,HIV,"494,220.13",,1,Abbot Laboratories,"40,612.35",1996,,Lopinavir / Ritonavir (LPV/r),,,,,,,,"40,612.35",,,,,,,,,,,,,,,,,
,,,,,Ivermectin,Roundworm,"96,306.64",,2,Novartis,"52,038.95",2009,,Artemether-Lumefantrine (AL),,,,,,"52,038.95",0,,,,,,,,,,,,,,,,,,
,,,,,Ivermectin,Whipworm,0,,2,Chongqing Holley Pharmaceutical Co. Ltd and Sigma Tau Industrie Farmaceutiche,10.34,2010,,DHA-Piperaquine (DHA-PPQ),,,,,,10.34,0,,,,,,,,,,,,,,,,,,
,,,,,Ivermectin,LF,195.43,,4,GlaxoSmithKline,"406,962.43",1975,,Albendazole (ALB),,,,,,,,,"130,928.83",0,"1,609.90",,,467.83,,,,,,,,,,,
,,,,,Pyrazinamide,DS-TB,"13,398,454.29",,1,GlaxoSmithKline,,1996,,Abacavir (ABC),,,,,,,,"17,890.93",,,,,,,,,,,,,,,,,
,,,,,Pyrazinamide,MDR-TB,"2,861.83",,1,GlaxoSmithKline,,1999,,Zidovudine (AZT),,,,,,,,"256,064.93",,,,,,,,,,,,,,,,,
2010,Sanofi,"13,420,018.69",3,6,RIfampicin,DS-TB,"13,398,454.29",,1,"Guilin Pharmaceutical Co., Ltd",0,1986,,Artesunate (AS),,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,Artesunate/Amodiaquine,p. falc Malaria,"18,547.38",,3,Johnson and Johnson,293.71,1972,,Mebendazole (MBZ),,,,,,,,,0,0,293.71,,,,,,,,,,,,,,
,,,,,Artesunate/Amodiaquine,p. vivax Malaria,0,,,,,,,Impact by Disease Type,,,"53,593,817.18","37,841.33","51,098.81","73,258.16",355.52,"3,903,950.89","227,235.47",0,"1,903.61","818,913.51",0,"1,208.05",,,,,,,,,,,
,,,,,Artesunate / Sulfadoxine-pyrimethamine,p. falc Malaria,"2,661.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Chloroquine + Primaquine,p. falc Malaria,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Chloroquine + Primaquine,p. vivax Malaria,355.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Novartis,"52,038.95",10,2,Artemether-Lumefantrine,p. falc Malaria,"52,038.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Artemether-Lumefantrine,p. vivax Malaria,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Company,Total impact score,Company rank overall,Number of diseases,,,,,#diseases2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Kyorin Pharmaceutical Co., Ltd.","4,490.59",16,1,,,,,1,"Kyorin Pharmaceutical Co., Ltd.","4,490.59",1999,,Gatifloxacin (Gfx),,,,,"4,490.59",,,,,,,,,,,,,,,,,,,,
2013,F. Hoffmann-La Roche Ltd,"10,817,673.56",5,1,,,,,1,F. Hoffmann-La Roche Ltd,"10,817,673.56",1952,,Isoniazid (H or INH),,,"10,817,673.56",,,,,,,,,,,,,,,,,,,,,,
2013,Merck,"10,943,204.59",4,7,,,,,1,Merck,"10,943,204.59",1948,,Streptomycin (S or STR),,,,"2,896.11",,,,,,,,,,,,,,,,,,,,,
2013,Bayer Healthcare,"250,299.06",11,3,,,,,1,Merck,,1996,,Efavirenz (EFV),,,,,,,,"74,131.38",,,,,,,,,,,,,,,,,
2013,Sanofi,"25,598,928.30",2,5,,,,,3,Merck,,1988,,Ivermectin (IVM),,,,,,,,,"2,500.47",,0,,"43,430.08",123.09,,,,,,,,,,,
2013,Daiichi Sankyo,"17,254.52",14,3,,,,,2,Merck,,1954,,Pyrazinamide (Z or PZA),,,"10,817,673.56","2,449.89",,,,,,,,,,,,,,,,,,,,,
2013,Bristol-Myers Squibb,"421,727.44",9,2,,,,,1,Bayer Healthcare,"250,299.06",1997,,Moxifloxacin (Mfx),,,,,"4,490.59",,,,,,,,,,,,,,,,,,,,
2013,Pfizer Inc.,"11,996,179.90",3,7,,,,,1,Bayer Healthcare,,1996,,Praziquantel (PZQ),,,,,,,,,,,,"93,545.15",,,,,,,,,,,,,
2013,Shire Pharmaceuticals,"1,077,960.93",7,1,,,,,0,Bayer Healthcare,,1986,,Suramin (SUR),,,,,,,,,,,,,,,,,,,,,,,,,
2013,Boehringer Ingelheim,"1,134,935.60",6,1,,,,,1,Bayer Healthcare,,1941,,Chloroquine (CQ),,,,,,,"152,263.32",,,,,,,,,,,,,,,,,,
2013,"Gilead Sciences, Inc.","348,002.12",10,2,,,,,1,Sanofi,"25,598,928.30",1967,,RIfampicin (R or RMP),,,"10,817,673.56",,,,,,,,,,,,,,,,,,,,,,
2013,Eli Lilly and Company,"6,174.56",15,1,,,,,1,Sanofi,,1988,,Artesunate/Amodiaquine (AS + AQ),,,,,,"13,490,038.21",0,,,,,,,,,,,,,,,,,,
2013,Abbot Laboratories,0,18,0,,,,,1,Sanofi,,1988,,Artesunate / Sulfadoxine-pyrimethamine (AS + SP),,,,,,"1,271,340.83",,,,,,,,,,,,,,,,,,,
2013,Johnson and Johnson,"22,781.24",13,3,,,,,2,Sanofi,,1981,,Chloroquine + Primaquine (CQ+PQ),,,,,,554.04,"19,321.66",,,,,,,,,,,,,,,,,,
2013,Novartis,"33,252,769.42",1,2,,,,,0,Sanofi,,1990,,Artesunate + Mefloquine + Primaquine (AS + MQ + PQ),,,,,,0,,,,,,,,,,,,,,,,,,,
2013,Chongqing Holley Pharmaceutical Co. Ltd and Sigma Tau Industrie Farmaceutiche,"24,812.71",12,1,,,,,0,Sanofi,,1988,,Artesunate + Sulfadoxine + Primaquine (AS+SP+PQ),,,,,,0,,,,,,,,,,,,,,,,,,,
2013,"Guilin Pharmaceutical Co., Ltd",0,18,0,,,,,1,Daiichi Sankyo,"17,254.52",1983,,Ofloxacin (Ofx),,,,,"4,490.59",,,,,,,,,,,,,,,,,,,,
2013,GlaxoSmithKline,"743,955.87",8,6,,,,,2,Daiichi Sankyo,,1996,,Levofloxacin (Lfx),,,,"8,273.35","4,490.59",,,,,,,,,,,,,,,,,,,,
2013,Artepharm,"2,024.72",17,1,,,,,1,Bristol-Myers Squibb,"421,727.44",1973,,Amikacin (Amk),,,,,"6,174.56",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,Bristol-Myers Squibb,,1987,,Didanosine (ddl),,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,1,Bristol-Myers Squibb,,1996,,Stavudine (d4t),,,,,,,,"415,552.89",,,,,,,,,,,,,,,,,
,,,,,,,,,1,Pfizer Inc.,"11,996,179.90",1976,,Ethambutol (E or EMB),,,"10,817,673.56",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,Pfizer Inc.,,1959,,Ethionamide (Eto),,,,"8,273.35",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2,Pfizer Inc.,,1956,,Cycloserine (Cs),,,,"8,273.35","18,523.67",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,Pfizer Inc.,,1948,,p-aminosalicylic acid (PAS),,,,"8,273.35",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,Pfizer Inc.,,1949,,Diethylcarbamazine (DEC),,,,,,,,,,,,,,227.02,,,,,,,,,,,
,,,,,,,,,1,Pfizer Inc.,,1996,,Nelfinavir (NFV),,,,,,,,"1,134,935.60",,,,,,,,,,,,,,,,,
,,,,,,,,,1,Shire Pharmaceuticals,"1,077,960.93",1991,,Lamivudine (3TC),,,,,,,,"1,077,960.93",,,,,,,,,,,,,,,,,
,,,,,,,,,1,Boehringer Ingelheim,"1,134,935.60",1996,,Nevirapine (NVP),,,,,,,,"1,134,935.60",,,,,,,,,,,,,,,,,
,,,,,,,,,1,"Gilead Sciences, Inc.","348,002.12",1998,,Emtricitabine (FTC),,,,,,,,"131,106.06",,,,,,,,,,,,,,,,,
,,,,,,,,,1,"Gilead Sciences, Inc.",,1996,,Tenofovir (TDF),,,,,,,,"216,896.06",,,,,,,,,,,,,,,,,
,,,,,,,,,1,Eli Lilly and Company,"6,174.56",2007,,Capreomycin (Cm),,,,,"6,174.56",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,Abbot Laboratories,0,1996,,Lopinavir / Ritonavir (LPV/r),,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,3,Johnson and Johnson,"22,781.24",1972,,Mebendazole (MBD),,,,,,,,,"20,329.02","2,132.96",319.26,,,,,,,,,,,,,,
,,,,,,,,,2,Novartis,"33,252,769.42",2009,,Artemether-Lumefantrine (AL),,,,,,"33,252,751.80",17.62,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,Chongqing Holley Pharmaceutical Co. Ltd and Sigma Tau Industrie Farmaceutiche,"24,812.71",2010,,DHA-Piperaquine (DHA-PPQ),,,,,,"24,812.71",0,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,"Guilin Pharmaceutical Co., Ltd",0,1986,,Artesunate (AS),,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,"Guilin Pharmaceutical Co., Ltd",0,2007,,Artemether (AM),,,,,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,4,GlaxoSmithKline,"743,955.87",1975,,Albendazole (ALB),,,,,,,,,"52,022.61","56,388.40","2,557.88",,,236.6,,,,,,,,,,,
,,,,,,,,,0,GlaxoSmithKline,,1999,,"Atovaquone + Proguanil
(AT + PG)",,,,,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,GlaxoSmithKline,,1996,,Abacavir (ABC),,,,,,,,"56,132.34",,,,,,,,,,,,,,,,,
,,,,,,,,,1,GlaxoSmithKline,,1999,,Zidovudine (AZT),,,,,,,,"576,618.04",,,,,,,,,,,,,,,,,
,,,,,,,,,0,GlaxoSmithKline,,1996,,Abacavir (ABC),,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,1,Artepharm,"2,024.72",2010,,Artemisinin + Piperaquine (ART+PPQ),,,,,,"2,024.72",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Impact by Disease Type,,,"43,270,694.24","38,439.39","48,835.13","48,041,522.32","171,602.60","4,818,268.91","74,852.10","58,521.35","2,877.15","93,545.15","43,430.08",586.72,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
